Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
"Executive Villagers Association 5BR House For Sale in BF Homes, Paranaque City!","B.F. Homes, Paranaque","22,000,000",5,600,420,https://www.lamudi.com.ph/executive-villagers-association-5br-house-for-sale-in-bf-homes-paranaque-city.html
Attractive Modern 4 Bedrooms With Fully Equipped Kitchen And A Well-Ventilated,"B.F. Homes, Paranaque","26,000,000",4,353,281,https://www.lamudi.com.ph/attractive-modern-4-bedrooms-with-fully-equipped-kitchen-and-a-well-ventilated-11.html
Ayala Alabang Village 4 Bedroom 4BR House for Sale in Muntinlupa City,"Ayala Alabang, Muntinlupa","53,000,000",4,331,375,https://www.lamudi.com.ph/ayala-alabang-village-4-bedroom-4br-house-for-sale-in-muntinlupa-city.html
Las Pinas 3 Bedroom Single House and Lot  for sale,"Talon Kuatro, Las Pinas","7,200,000",3,93,100,https://www.lamudi.com.ph/las-pinas-3-bedroom-single-house-and-lot-for-sale.html
5BR Townhouse for sale in Tandang Sora nr Congressional Ext Quezon City,"Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/5br-townhouse-for-sale-in-tandang-sora-nr-congressional-ext-quezon-city.html
Don Antonio Commonwealth 3 Bedroom Townhouse,"Matandang Balara, Quezon City","12,171,969",3,186,46,https://www.lamudi.com.ph/don-antonio-commonwealth-3-bedroom-townhouse.html
"BRAHMS House and Lot for Sale in Mira Valley at Havila, Antipolo, Rizal","San Roque, Antipolo","6,558,100",3,93,112,https://www.lamudi.com.ph/brahms-house-and-lot-for-sale-in-mira-valley-at-havila-antipolo-rizal.html
"Two-story House and Lot for Sale in Col. Bonny Serrano Ave., Quezon City","San Roque, Quezon City","35,000,000",5,219,200,https://www.lamudi.com.ph/two-story-house-and-lot-for-sale-in-col-bonny-serrano-ave-quezon-city.html
Spacious 2 Storey Townhouse with 101 sqm lot for Sale in Marikina City,"Marikina Heights, Marikina","6,300,000",3,160,101,https://www.lamudi.com.ph/spacious-2-storey-townhouse-with-101-sqm-lot-for-sale-in-marikina-city.html
For sale 5 Bedrooms with attic House and Lot at the center of Panabo City,Panabo,"6,500,000",5,180,288,https://www.lamudi.com.ph/for-sale-5-bedrooms-with-attic-house-and-lot-at-the-center-of-panabo-city.html
Vista Real Classica II | Brand new 4BR House and Lot for Sale in Quezon City!,"Batasan Hills, Quezon City","50,000,000",4,400,310,https://www.lamudi.com.ph/vista-real-classica-ii-brand-new-4br-house-and-lot-for-sale-in-quezon-city.html
"Townhouse For Sale RFO at Golf course Dasmarinas in Salawag, Dasmarinas","Salawag, Dasmarinas","6,100,000",3,180,no info,https://www.lamudi.com.ph/townhouse-for-sale-rfo-at-golf-course-dasmarinas-in-salawag-dasmarinas.html
"Brand New House and Lot for Sale in Silverland subd., Quezon City w/ attic","Pasong Tamo, Quezon City","8,500,000",3,200,86,https://www.lamudi.com.ph/brand-new-house-and-lot-for-sale-in-silverland-subd-quezon-city-w-attic.html
"Dasmarinas Village, Makati House and Lot for Sale Two Storey LA 1,012 FA 800","Dasmarinas, Makati","530,000,000",5,800,1012,https://www.lamudi.com.ph/dasmarinas-village-makati-house-and-lot-for-sale-two-storey-la-1-012-fa-800.html
Horseshoe Village Quezon City Brand New 4 Bedroom Townhouse For Sale,"Horseshoe, Quezon City","32,000,000",4,461,118,https://www.lamudi.com.ph/horseshoe-village-quezon-city-brand-new-4-bedroom-townhouse-for-sale.html
Greenmeadows Subdivision 3Bedroom House and Lot For Sale in Quezon City-DS882264,"Ugong Norte, Quezon City","265,000,000",3,600,805,https://www.lamudi.com.ph/greenmeadows-subdivision-3bedroom-house-and-lot-for-sale-in-quezon-city-ds882264.html
"Ready for occupancy House For Sale in Daanghari Alabang in Bayanan, Muntinlupa","Bayanan, Muntinlupa","18,000,000",4,237,240,https://www.lamudi.com.ph/ready-for-occupancy-house-for-sale-in-daanghari-alabang-in-bayanan-muntinlupa.html
Mandaluyong House and lot Brand New For Sale near Makati,"New Zaniga, Mandaluyong","26,000,000",3,262,91,https://www.lamudi.com.ph/mandaluyong-house-and-lot-brand-new-for-sale-near-makati.html
"New Elegant House And Lot For Sale In With Pool in B.F. Homes, Paranaque","B.F. Homes, Paranaque","45,000,000",5,750,400,https://www.lamudi.com.ph/new-elegant-house-and-lot-for-sale-in-with-pool-in-b-f-homes-paranaque.html
"3BR House and Lot for Sale in Palm Village in Salcedo Village, Makati","Salcedo Village, Makati","50,000,000",3,300,114,https://www.lamudi.com.ph/3br-house-and-lot-for-sale-in-palm-village-in-salcedo-village-makati.html
4BR Townhouse Unit for Sale in Mandaluyong City - DS881855,Mandaluyong,"45,000,000",4,376,117,https://www.lamudi.com.ph/4br-townhouse-unit-for-sale-in-mandaluyong-city-ds881855-2.html
"For Sale RFO, 3BR w/ individual T&B, 1 Maids room Townhouse across Ayala Alabang","Almanza Dos, Las Pinas","18,612,000",3,161,120,https://www.lamudi.com.ph/for-sale-rfo-3br-w-individual-t-b-1-maids-room-townhouse-across-ayala-alabang.html
"Brand New Elegant House and Lot for Sale in B.F. Homes, Paranaque","B.F. Homes, Paranaque","22,000,000",3,245,204,https://www.lamudi.com.ph/brand-new-elegant-house-and-lot-for-sale-in-b-f-homes-paranaque-4.html
"San Juan City, 6 Bedroom Modern House for sale with swimming pool Nr. Greenhills","Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-city-6-bedroom-modern-house-for-sale-with-swimming-pool-nr-greenhills.html
"VIVALDI House and Lot for Sale in Princeton Heights, Bacoor, Cavite","Mambog IV, Bacoor","7,712,900",3,94,156,https://www.lamudi.com.ph/vivaldi-house-and-lot-for-sale-in-princeton-heights-bacoor-cavite.html
Likha Residences Brand New 3-Storey Townhouse For Sale in Muntinlupa nr. Alabang,"Cupang, Muntinlupa","25,296,000",3,237,92,https://www.lamudi.com.ph/likha-residences-brand-new-3-storey-townhouse-for-sale-in-muntinlupa-nr-alabang.html
"For Sale Attractive Modern 5BR with equipped Kitchen in B.F. Homes, Paranaque","B.F. Homes, Paranaque","26,000,000",4,353,281,https://www.lamudi.com.ph/for-sale-attractive-modern-5br-with-equipped-kitchen-in-b-f-homes-paranaque.html
4BR Residential Townhouse for Sale in Mandaluyong City - DS881853,"Shaw Boulevard, Mandaluyong","39,500,000",4,355,91,https://www.lamudi.com.ph/4br-residential-townhouse-for-sale-in-mandaluyong-city-ds881853-1.html
