Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"2-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu","15,916,180",2,2,74,na,10.3051555,124.0112408,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu","8,730,355",1,1,41,na,10.3051555,124.0112408,https://www.lamudi.com.ph/1-bedroom-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"Offices at The Galleon - Prime Unit (11G) for Sale in Ortigas, Pasig","San Antonio, Pasig","27,448,000",na,na,82,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-11g-for-sale-in-ortigas-pasig.html
"1-Bedroom Unit (821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,011,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-821-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Alice 2 Storey Townhouse For Sale in Lancaster New City in General Trias, Cavite","Tapia, General Trias","1,935,600",3,na,40,40,14.35507,120.876425,https://www.lamudi.com.ph/alice-2-storey-townhouse-for-sale-in-lancaster-new-city-in-general-trias-cavite.html
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,587,013",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Studio Deluxe (43E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","13,246,000",1,1,46,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-43e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1918-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (21J) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,930,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-21j-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,360,751",1,1,33,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6f-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"1-Bedroom Unit (11K) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,042,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-11k-for-sale-in-empress-at-capitol-commons-pasig-city.html
